user_name,rating,title,content,date,verified,full_text,sentiment,sarcasm_detected,sarcasm_probability,sentiment_scores
Jerry,2,"Defective Apple, iPhone and iPad","Late in 2025 we decided to replace our iPhone 8 Plus with a new iPhone 16 plus, this is where the problem started, the new iPhone 16 would not communicate with the iPad at all, no messaging, no FaceTime, we thought maybe the iPad was getting old so we replaced it, April 4th 2026, with the new iPad Air M4, things went from bad, to worse.

Still no communication between the new iPhone and the new iPad, no messaging, no FaceTime, contacted your customer support. The person was very kind and very helpful on the phone, apparently they are working on it, technical support stated there is a problem with the phone, and with the iPad both, support stated they put in several requests, can take up to 24 hours, there was a holiday in there so I'm assuming it's gonna take longer, but as of Monday, April 6th 5:00 you still have the same problems.

On top of that voice dictation keeps quitting, we can message other people, but not each other, according to technical support, both the iPhone and iPad are defective, they both have programming issues, that was a lot of money to spend for us, just to get junk, on top of that, (I still haven't received the return box for our trade-in,) two defective apple products in a row. Tell me that Apple is no longer any good, for that kind of money I feel like we just got ripped off, Apple is definitely off our list.

This is not the first time I've contacted Apple about the problems with the phone, since the phone is under warranty, wanted them to replace it, they said they would only replace it with a refurbished unit, I did not pay for refurbished units, which would be Much cheaper, I paid for brand new ones, i’ve had no response from my emails.",2026-04-07T22:16:00.000Z,,"Defective Apple, iPhone and iPad Late in 2025 we decided to replace our iPhone 8 Plus with a new iPhone 16 plus, this is where the problem started, the new iPhone 16 would not communicate with the iPad at all, no messaging, no FaceTime, we thought maybe the iPad was getting old so we replaced it, April 4th 2026, with the new iPad Air M4, things went from bad, to worse.

Still no communication between the new iPhone and the new iPad, no messaging, no FaceTime, contacted your customer support. The person was very kind and very helpful on the phone, apparently they are working on it, technical support stated there is a problem with the phone, and with the iPad both, support stated they put in several requests, can take up to 24 hours, there was a holiday in there so I'm assuming it's gonna take longer, but as of Monday, April 6th 5:00 you still have the same problems.

On top of that voice dictation keeps quitting, we can message other people, but not each other, according to technical support, both the iPhone and iPad are defective, they both have programming issues, that was a lot of money to spend for us, just to get junk, on top of that, (I still haven't received the return box for our trade-in,) two defective apple products in a row. Tell me that Apple is no longer any good, for that kind of money I feel like we just got ripped off, Apple is definitely off our list.

This is not the first time I've contacted Apple about the problems with the phone, since the phone is under warranty, wanted them to replace it, they said they would only replace it with a refurbished unit, I did not pay for refurbished units, which would be Much cheaper, I paid for brand new ones, i’ve had no response from my emails.",weighted_negative,False,0.017163191,"Neg:0.79, Neu:0.19, Pos:0.03"
LIAN,5,a better user experience,"I have used both Android phones and iPhones, and the iPhone offers a superior user experience. Although it is more expensive, I have observed that many people are willing to pay a premium for a better user experience.",2026-04-07T19:57:16.000Z,,"a better user experience I have used both Android phones and iPhones, and the iPhone offers a superior user experience. Although it is more expensive, I have observed that many people are willing to pay a premium for a better user experience.",Positive,False,0.004402031,"Neg:0.01, Neu:0.09, Pos:0.90"
Brenda da Silva,1,"Accidental subscription, no refund provided","I was charged £9.99 for a weekly subscription on the Remini app after the free trial, despite intending to cancel in time.

I misunderstood the trial period, which was my mistake, but I only used the app on the first day and did not use it at all after being charged.

I requested a refund immediately on the same day, but it was denied without considering that the service was not used.

This amount is significant for me, as I earn in a different currency, making the cost much higher in real terms.

Very disappointing experience and lack of flexibility in handling genuine cases like this.
",2026-04-07T18:38:38.000Z,,"Accidental subscription, no refund provided I was charged £9.99 for a weekly subscription on the Remini app after the free trial, despite intending to cancel in time.

I misunderstood the trial period, which was my mistake, but I only used the app on the first day and did not use it at all after being charged.

I requested a refund immediately on the same day, but it was denied without considering that the service was not used.

This amount is significant for me, as I earn in a different currency, making the cost much higher in real terms.

Very disappointing experience and lack of flexibility in handling genuine cases like this.
",weighted_negative,False,0.011761903,"Neg:0.87, Neu:0.12, Pos:0.01"
Martin Rose,1,"Siri er så ringe, at det er til at tude over. Længe leve Google",Siri er for ringe.,2026-04-07T12:36:53.000Z,,"Siri er så ringe, at det er til at tude over. Længe leve Google Siri er for ringe.",Neutral,False,0.20643294,"Neg:0.02, Neu:0.90, Pos:0.08"
Denise Ocanas,5,I bought iPhone 16 2 months ago,I bought iPhone 16 2 months ago. it is my first iphone and its way better than other android systems. ,2026-04-07T10:41:43.000Z,,I bought iPhone 16 2 months ago I bought iPhone 16 2 months ago. it is my first iphone and its way better than other android systems. ,Positive,False,0.007309643,"Neg:0.00, Neu:0.02, Pos:0.98"
Sana Ullah,5,Best phone using time not hing,Best phone using time not hing ,2026-04-06T22:40:54.000Z,,Best phone using time not hing Best phone using time not hing ,sarcasm_probability,True,0.7570264,"Neg:0.31, Neu:0.16, Pos:0.53"
Crawford Grant,1,poor after service ,"when you want to buy a phone they see you immediately, when a new iphone is defective after 5 months they make you wait hours. and it’s still defective. staff are incompetent, by the time i was seen i knew more about iphones than the staff, also the hey are rude and disrespectful, i bought a new iphone phone for work because in the past they were effective, i’ll never buy an iphone again ",2026-04-06T16:14:46.000Z,,"poor after service  when you want to buy a phone they see you immediately, when a new iphone is defective after 5 months they make you wait hours. and it’s still defective. staff are incompetent, by the time i was seen i knew more about iphones than the staff, also the hey are rude and disrespectful, i bought a new iphone phone for work because in the past they were effective, i’ll never buy an iphone again ",weighted_negative,False,0.0077877063,"Neg:0.92, Neu:0.07, Pos:0.01"
Peter Mahood,1,I’ve noticed since the government have…,"I’ve noticed since the government have got in touch with Apple voice control dictation advances in technology security,experience have all gone downhill",2026-04-06T12:33:40.000Z,,"I’ve noticed since the government have… I’ve noticed since the government have got in touch with Apple voice control dictation advances in technology security,experience have all gone downhill",weighted_negative,False,0.010444032,"Neg:0.67, Neu:0.31, Pos:0.02"
Arjun Patel,5,i actually love apple products,i actually love apple products. i bought the new macbook air m4 and its incredibly fast for the money. love the integration with my iphone,2026-04-06T10:17:35.000Z,,i actually love apple products i actually love apple products. i bought the new macbook air m4 and its incredibly fast for the money. love the integration with my iphone,Positive,False,0.005269401,"Neg:0.00, Neu:0.01, Pos:0.99"
Punverse,5,Amazing work from them,Amazing work from them ,2026-04-06T09:38:41.000Z,,Amazing work from them Amazing work from them ,Positive,False,0.48531604,"Neg:0.00, Neu:0.01, Pos:0.99"
Aditya Narayan C. R.,4,Apple Products are par none,"All the products that I use, whether iPhone or Macbook or iMac are trustable and very reliable. Including the software backup. Of course there are some niggles - and we have to wait for the next backup for the updates that fix those bugs. But apart from that - one of my favourite companies, loyal to it. ",2026-04-06T07:17:55.000Z,,"Apple Products are par none All the products that I use, whether iPhone or Macbook or iMac are trustable and very reliable. Including the software backup. Of course there are some niggles - and we have to wait for the next backup for the updates that fix those bugs. But apart from that - one of my favourite companies, loyal to it. ",Positive,False,0.016429357,"Neg:0.02, Neu:0.10, Pos:0.87"
Mudassir Daimee,1,Be Careful of App store free apps ,"I want to make aware of a new aspect of online apps purchase through App store”various Apps subscription on App store like translation AI, AI Chatbot,clean up iphone storage, Guru clean up etc are mostly money extorting business by saying it is free app or free trial for 7 days and even if you cancelled subscription before expiring free trial apple deduct money from credit card on file ( apple account) when you call apple and spend long time they will say it is third party contract and call seller directly unfortunately sellers contact is fake and poor or vague and poor response please be careful and be safe in these scam under guidance of Apple?? why they custodian of this scam business???
",2026-04-04T22:37:54.000Z,,"Be Careful of App store free apps  I want to make aware of a new aspect of online apps purchase through App store”various Apps subscription on App store like translation AI, AI Chatbot,clean up iphone storage, Guru clean up etc are mostly money extorting business by saying it is free app or free trial for 7 days and even if you cancelled subscription before expiring free trial apple deduct money from credit card on file ( apple account) when you call apple and spend long time they will say it is third party contract and call seller directly unfortunately sellers contact is fake and poor or vague and poor response please be careful and be safe in these scam under guidance of Apple?? why they custodian of this scam business???
",Neutral,False,0.22670831,"Neg:0.32, Neu:0.57, Pos:0.10"
Sara M,1,⭐ ZERO star,"⭐ ZERO star — I'm writing this to stop all annoying ignorances of my complaints sins 2019- Apple Store Westfield White City — 14 March 2026

I attended this store on 14 March 2026 to exchange a MacBook Air I had purchased less than two weeks earlier. What followed is now the subject of formal complaints to Apple Head Office, the ICO, Trading Standards, and the Equality Advisory Support Service, as well as ongoing civil proceedings.

I am a registered disabled person. The store provided no seating for me or my elderly father, who has a serious cardiac condition. When I asked to exchange my device, I was told repeatedly to ""come back another time."" When I persisted, a manager publicly accused me of water damage — with no diagnostic test, no evidence, and without the technician properly examining my device. Apple's own technician, Greg, confirmed in writing on the same day (Case ID 102844707746) that the device was fully functional and there was no fault. An independent professional diagnostic from Newton's Apple Repair (Work ID 7078) confirmed no liquid damage, no residue, no corrosion, and that the device had never previously been opened. Currys resolved the so-called fault in under 30 seconds.

When I asked to see evidence for the accusation, I was refused. When I asked to speak with the technician, I was refused. When I asked for a head manager, I was refused. A colleague was brought over and the two of them continued the interaction while I was repeatedly cut off and not allowed to finish speaking. When I turned to the security guard for help, he was instructed to remove me instead. He then followed me outside the store into the public Westfield area and confronted me aggressively while I repeatedly said I did not feel safe. This is documented on video.

Two calls to the store on 16 March 2026 — both recorded — produced completely contradictory internal reports about my device within the same morning. A formal senior manager phone call on 16 March 2026 ended the moment I asked for a head manager and the manager realised I was recording. My formal written complaints to executive.relations , uk_legal , and privacy at apple.com have not been adequately addressed.

This is not my only experience at this store. I have attended Apple Stores over eight times for repairs on four iPhone 16 devices and four AirTags covered by Apple insurance. On every occasion I was sent away and told to come back. I have paid over £800 in insurance costs for products I have never been able to use.

All of the above is documented, evidenced, and currently before regulatory bodies and the court. I am sharing this factual account of my personal experience so that other customers — particularly disabled customers or those who are elderly — know what to expect and can make informed decisions.

Case IDs for reference: 102844505765 | 102844707746 | 18959098 | 102845788244
",2026-04-04T19:14:14.000Z,,"⭐ ZERO star ⭐ ZERO star — I'm writing this to stop all annoying ignorances of my complaints sins 2019- Apple Store Westfield White City — 14 March 2026

I attended this store on 14 March 2026 to exchange a MacBook Air I had purchased less than two weeks earlier. What followed is now the subject of formal complaints to Apple Head Office, the ICO, Trading Standards, and the Equality Advisory Support Service, as well as ongoing civil proceedings.

I am a registered disabled person. The store provided no seating for me or my elderly father, who has a serious cardiac condition. When I asked to exchange my device, I was told repeatedly to ""come back another time."" When I persisted, a manager publicly accused me of water damage — with no diagnostic test, no evidence, and without the technician properly examining my device. Apple's own technician, Greg, confirmed in writing on the same day (Case ID 102844707746) that the device was fully functional and there was no fault. An independent professional diagnostic from Newton's Apple Repair (Work ID 7078) confirmed no liquid damage, no residue, no corrosion, and that the device had never previously been opened. Currys resolved the so-called fault in under 30 seconds.

When I asked to see evidence for the accusation, I was refused. When I asked to speak with the technician, I was refused. When I asked for a head manager, I was refused. A colleague was brought over and the two of them continued the interaction while I was repeatedly cut off and not allowed to finish speaking. When I turned to the security guard for help, he was instructed to remove me instead. He then followed me outside the store into the public Westfield area and confronted me aggressively while I repeatedly said I did not feel safe. This is documented on video.

Two calls to the store on 16 March 2026 — both recorded — produced completely contradictory internal reports about my device within the same morning. A formal senior manager phone call on 16 March 2026 ended the moment I asked for a head manager and the manager realised I was recording. My formal written complaints to executive.relations , uk_legal , and privacy at apple.com have not been adequately addressed.

This is not my only experience at this store. I have attended Apple Stores over eight times for repairs on four iPhone 16 devices and four AirTags covered by Apple insurance. On every occasion I was sent away and told to come back. I have paid over £800 in insurance costs for products I have never been able to use.

All of the above is documented, evidenced, and currently before regulatory bodies and the court. I am sharing this factual account of my personal experience so that other customers — particularly disabled customers or those who are elderly — know what to expect and can make informed decisions.

Case IDs for reference: 102844505765 | 102844707746 | 18959098 | 102845788244
",weighted_negative,False,0.016875202,"Neg:0.58, Neu:0.40, Pos:0.02"
Susan Korteweg,2,Stop changing the functioning of applications ,"I wish you would resist changing the inside workings of the applications. Constantly trying to remember which way things work after the last  download , ie gmail.  Please stick to security !",2026-04-04T12:28:05.000Z,,"Stop changing the functioning of applications  I wish you would resist changing the inside workings of the applications. Constantly trying to remember which way things work after the last  download , ie gmail.  Please stick to security !",weighted_negative,False,0.0094347745,"Neg:0.77, Neu:0.22, Pos:0.02"
Jeff Gilmore,1,I bought a new pair of Apple AirPod…,"I bought a new pair of Apple AirPod Pros and tried to redeem 3 months of Apple Music.  I was denied because I claimed Apple Music trials from purchasing new devices too many times.  I can’t find a statement in Apple’s documentation that states there is a limit to trials. It is just another example of Apple greed and deception. They state trials are available to new and previous users of their services. You would think they would want people to continue to buy their products. 


",2026-04-04T00:29:07.000Z,,"I bought a new pair of Apple AirPod… I bought a new pair of Apple AirPod Pros and tried to redeem 3 months of Apple Music.  I was denied because I claimed Apple Music trials from purchasing new devices too many times.  I can’t find a statement in Apple’s documentation that states there is a limit to trials. It is just another example of Apple greed and deception. They state trials are available to new and previous users of their services. You would think they would want people to continue to buy their products. 


",weighted_negative,False,0.009689747,"Neg:0.56, Neu:0.37, Pos:0.08"
Steven Bradley,1,apple customer service do not listern…,apple customer service do not listern to customers. They did not help me.,2026-04-04T00:27:31.000Z,,apple customer service do not listern… apple customer service do not listern to customers. They did not help me.,weighted_negative,False,0.01822666,"Neg:0.93, Neu:0.07, Pos:0.01"
ASHISH SINGAL,1,Apple raided my bank account,"Just bought some Apple products totalling $1925 which has been deducted from my account.

Apple has then applied a further 5 (one failed because they cleaned my account out) charges to my account for $542, 317, 181 and 44 = $1084. None of these additional charges match the prices for the individual items. They are completely random amounts.

I have called Apple 3 times now to get this resolved and my money back. What a nightmare. 

They cannot 
(1) explain why the additional charges were applied. They have given me some completely non sensical answers like that's just what their system sometime does. Unbelievable when you think they are supposed to be the primary IT company in the world
(2) They are unable to explain where these completely random amounts have come but over the last three calls I have heard some great explanations which are truly totally nonsense 
(3) They cannot tell me when my money will be refunded. They cannot even confirm if they have cancelled the charges at their end. Instead they have asked me to go back to my bank and ask them to return my money. I know exactly what my bank will say, 'Go back to Apple and ask them to cancel / refund the charges'

Unbelievable experience with Apple. Completely clueless.

I am also unable to raise a complaint with the call handler (they inform me that don't have a system) or on the website because the webpage is undergoing upgrade or is it just because they are overwhelmed with complaints judging by the 1.8 rating.

Big tech companies happy to take your money but unhappy to refund or acknowledge there is an issue when things go wrong. 

Just to add to the issues above, Apple have taken a further $89 from my account so when I got to the supermarket to pay I didn't have enough money in my account.
",2026-04-03T17:11:49.000Z,,"Apple raided my bank account Just bought some Apple products totalling $1925 which has been deducted from my account.

Apple has then applied a further 5 (one failed because they cleaned my account out) charges to my account for $542, 317, 181 and 44 = $1084. None of these additional charges match the prices for the individual items. They are completely random amounts.

I have called Apple 3 times now to get this resolved and my money back. What a nightmare. 

They cannot 
(1) explain why the additional charges were applied. They have given me some completely non sensical answers like that's just what their system sometime does. Unbelievable when you think they are supposed to be the primary IT company in the world
(2) They are unable to explain where these completely random amounts have come but over the last three calls I have heard some great explanations which are truly totally nonsense 
(3) They cannot tell me when my money will be refunded. They cannot even confirm if they have cancelled the charges at their end. Instead they have asked me to go back to my bank and ask them to return my money. I know exactly what my bank will say, 'Go back to Apple and ask them to cancel / refund the charges'

Unbelievable experience with Apple. Completely clueless.

I am also unable to raise a complaint with the call handler (they inform me that don't have a system) or on the website because the webpage is undergoing upgrade or is it just because they are overwhelmed with complaints judging by the 1.8 rating.

Big tech companies happy to take your money but unhappy to refund or acknowledge there is an issue when things go wrong. 

Just to add to the issues above, Apple have taken a further $89 from my account so when I got to the supermarket to pay I didn't have enough money in my account.
",weighted_negative,False,0.036719292,"Neg:0.81, Neu:0.18, Pos:0.01"
CMCclanForLife,3,The Mac mini m4 2024 (3 stars),"The Mac mini M4 chip 2024 model is good
It’s not 5 stars but I’m bieng generous with 3
Ok now the Mac doesn’t have much storage at all
You can’t download lots of apps including FORTNITE and Apex legends but it is very good performing wise and as a YouTuber and gamer (go sub to c12MC3) I know if it’s a good PC or not so if you want a small well performing pc to carry around with you then buy this but if you are a pro at gaming or need high technology computers then don’t buy the Mac mini M4 chip 2024 model!    Also there isn’t much storage!!
3 stars",2026-04-03T16:45:35.000Z,,"The Mac mini m4 2024 (3 stars) The Mac mini M4 chip 2024 model is good
It’s not 5 stars but I’m bieng generous with 3
Ok now the Mac doesn’t have much storage at all
You can’t download lots of apps including FORTNITE and Apex legends but it is very good performing wise and as a YouTuber and gamer (go sub to c12MC3) I know if it’s a good PC or not so if you want a small well performing pc to carry around with you then buy this but if you are a pro at gaming or need high technology computers then don’t buy the Mac mini M4 chip 2024 model!    Also there isn’t much storage!!
3 stars",Positive,False,0.0061948746,"Neg:0.05, Neu:0.19, Pos:0.77"
Neil Temple,1,Can’t use a passport to prove you’re over 18!!! ,"The new having to prove your over 18, but. An only use a credit card or driving licence! Dont have either. Can’t use a passport, but you can use a micky mouse ID I don’t want or need! Rubbish customer service, now can’t use several features in my iPhone or IPad. Now going back to Samsung as Apple are idiots! ",2026-04-03T15:05:35.000Z,,"Can’t use a passport to prove you’re over 18!!!  The new having to prove your over 18, but. An only use a credit card or driving licence! Dont have either. Can’t use a passport, but you can use a micky mouse ID I don’t want or need! Rubbish customer service, now can’t use several features in my iPhone or IPad. Now going back to Samsung as Apple are idiots! ",weighted_negative,False,0.01450512,"Neg:0.88, Neu:0.11, Pos:0.01"
